date,date_kind,date_precision,track,category,headline,detail,quote,source_type,source_ref,issue,verified,notes
2020-03-13,announced,day,ucl,assessment,Formal assessment for first-year undergraduates to be reduced,Framed as reducing the burden on staff rather than on students.,We will seek to significantly reduce the amount of further formal assessment for first-year undergraduates this year.,newsletter,004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,,quote-exact,Hardened a week later into outright cancellation and a pass/fail capstone.
2020-03-13,observed,day,ucl,epidemiology,"Second confirmed case at UCL, a contractor's employee",Reported the day after the first student case.,we have been notified today of a further case,newsletter,005_13_March__Issue_5_.html,5,quote-exact,"UCL was naming individual cases at this stage. By October 2020 it was publishing aggregate counts, which is the series the archive preserves."
2020-03-16,announced,day,ucl,restrictions,All staff able to work remotely told to do so from 17 March,Campus stayed open for those who could not work from home.,"Although campus remains open, all staff who are able to work remotely should do so from tomorrow, Tuesday 17 March.",newsletter,006_16_March__Issue_6_.html,6,quote-exact,"Announced 16 March, effective 17 March. The one-day gap is why date_kind exists."
2020-03-16,effective,day,ucl,civic,"External events suspended and the theatre, galleries and museums closed","Covered offer-holder events, the Bloomsbury Theatre, all UCL galleries and museums, and staff recruitment that could not be held remotely.","As of today, Monday 16 March, all external events are suspended until 1 May.",newsletter,006_16_March__Issue_6_.html,6,quote-exact,The 1 May horizon recurs across March 2020 decisions and is consistently too optimistic.
2020-03-16,announced,day,ucl,restrictions,Staff over 70 or with health conditions must work from home,"An instruction rather than advice, extended to those living with or caring for people at higher risk.",All staff aged over 70 and those with pre-existing health conditions must work from home.,newsletter,006_16_March__Issue_6_.html,6,quote-exact,"Predates the national shielding programme, which opened to letters from 21 March 2020. Needs checking against the primary record in stage 2 before the comparison is made in the rendering."
2020-03-17,announced,day,ucl,governance,Coronavirus sickness absence exempted from absence triggers and paid in full,Regardless of length of service or sick pay status.,sickness absence for coronavirus will not count towards the number of days’ absence which would trigger a formal process for managing absence under our usual policy,newsletter,007_17_March__Issue_7_.html,7,quote-exact,
2020-03-17,announced,day,ucl,research,"Remote working extended to research, facilities and services","The Provost's own decision, taken in response to the government's recommendation of the previous evening.","In light of the government’s recommendation, I have taken the decision to extend remote working to all of our research as well as facilities and services.",newsletter,007_17_March__Issue_7_.html,7,quote-exact,"An explicit statement of national policy being the cause, which is rarer in the record than one might expect and is what makes this row usable for lag analysis."
2020-03-17,announced,day,ucl,accommodation,Students strongly advised to return home,With accommodation offered to any student unable to travel.,"We now strongly advise all students to return home as soon as they can, as we are aware that travel will become more restrictive in the coming days and weeks.",newsletter,007_17_March__Issue_7_.html,7,quote-exact,"Six days before the national lockdown, and anticipating the travel restrictions rather than following them."
2020-03-17,announced,day,ucl,teaching,"Summer placements, summer schools and pre-sessional teaching cancelled",,"all summer placements, summer schools and pre-sessional teaching have now been cancelled",newsletter,007_17_March__Issue_7_.html,7,quote-exact,
2020-03-17,announced,day,ucl,restrictions,UCL to stay on a remote working footing until 15 April,"Explicitly framed as not a closure, with teaching, assessment and research continuing remotely.","The university will remain on a remote working footing until 15 April 2020, after the Easter closure.",newsletter,007_17_March__Issue_7_.html,7,quote-exact,The stated end date passed without campus reopening. The horizon UCL set in March was wrong by more than a year for most activity.
2020-03-18,announced,day,national,teaching,The Prime Minister announces the closure of schools for most pupils,"Schools closed at the end of Friday 20 March and did not reopen on Monday 23 March, which is why the newsletters and this source date the same measure differently.",announcing closure of schools for most pupils from 23 March,web,https://commonslibrary.parliament.uk/house-of-commons-coronavirus-timeline/,,primary-retrieved,"UCL restricted its Day Nursery to national-interest and essential staff the next day, a lag of one. The UCL note described this as closure ""by 20 March"" and the Commons Library timeline as closure ""from 23 March""; both describe the same break, from opposite ends of the weekend."
2020-03-18,announced,day,ucl,teaching,All library loans renewed to 5 June and recalls suspended,,We arranged yesterday to renew all books on loan until 5 June and all recalls have been suspended.,newsletter,008_18_March__Issue_8_.html,8,quote-exact,
2020-03-18,announced,day,ucl,governance,Mitigation group restructured into subgroups under the Provost,"With trade union and Students' Union representation, and epidemiological advice from Professor Andrew Hayward.",The Coronavirus Mitigation Group is assuming a new structure to allow us to continue our meetings effectively and make timely decisions while staff are working remotely.,newsletter,008_18_March__Issue_8_.html,8,quote-exact,Effective 20 March per issue 9. The decision-making structure itself changed to survive remote working.
2020-03-19,announced,day,ucl,wellbeing,Day Nursery to stay open only for national-interest and essential staff,Narrowed from the previous week's position that it remained open to all staff and students.,The UCL Day Nursery will stay open as long as possible for the children of staff undertaking research in the immediate national interest or whose work onsite is essential to the continued operation of the university.,newsletter,009_19_March__Issue_9_.html,9,quote-exact,Follows the government's announcement of 18 March that schools and nurseries would close by 20 March. A one-day lag.
2020-03-19,announced,day,ucl,governance,Staff with caring responsibilities to keep normal pay without taking leave,,"Please be assured that we wish to support you and will understand that you may have to change work routines, take holiday at short notice and perhaps not work your normal number of hours.",newsletter,009_19_March__Issue_9_.html,9,quote-exact,Restated more firmly on 23 March: caring for dependents became an authorised absence.
2020-03-20,announced,day,ucl,assessment,First-year undergraduate assessments cancelled and replaced by a capstone,"A single pass/fail piece of reflective work with a late June deadline, required to progress to year two.","On Friday 20 March, we contacted all undergraduate first year students to tell them their assessments have been cancelled.",newsletter,011_23_March__Issue_11_.html,11,quote-exact,"Filed on 20 March, the date of the action; the source is issue 11 of 23 March, which reports it retrospectively. Students had petitioned for deferral instead and UCL declined."
2020-03-20,effective,day,ucl,restrictions,Most UCL buildings and all libraries close,"The Student Centre, accommodation services, some residences and buildings supporting essential research stayed open.","To facilitate the latter, the Student Centre, UCL Accommodation services, some student residences and buildings linked to essential research will remain open. All other UCL buildings and libraries will be closed.",newsletter,007_17_March__Issue_7_.html,7,quote-exact,"Three days before the national lockdown. The Student Centre closed on 24 March, the day after it."
2020-03-20,effective,day,ucl,research,Only research in the immediate national interest may continue on site,Announced 17 March with a deadline of 5.30pm on Friday 20 March.,"From the end of Friday, the only research that will take place in our buildings will be in the immediate national interest, for example work on coronavirus.",newsletter,007_17_March__Issue_7_.html,7,quote-exact,"Filed on the effective date, 20 March; announced 17 March. Faculties coordinated the shutdown of experiments in the intervening three days."
2020-03-20,announced,day,ucl,assessment,Students may self-certify extenuating circumstances for the rest of the year,,UCL has agreed that students can self-certify if they have Extenuating Circumstances for the remainder of the 2019/20 academic year.,newsletter,010_20_March__Issue_10_.html,10,quote-exact,
2020-03-20,announced,day,ucl,accommodation,Students urged to vacate halls; no Term 3 accommodation fees,"Halls stayed open for students with nowhere else to go, consistent with the commitment given on 12 March.",we have urged students who have access to an alternative safe and secure source of accommodation to vacate UCL halls of residences,newsletter,010_20_March__Issue_10_.html,10,quote-exact,The fee waiver applied to students who had already checked out as well as those planning to.
2020-03-20,announced,day,ucl,civic,UCL PCR machines made available to the NHS for testing,Alongside medical students volunteering and clinical academics released to the NHS.,We are also making UCL’s Polymerase Chain Reaction (PCR) machines available to the NHS to expand the capacity for coronavirus testing.,newsletter,010_20_March__Issue_10_.html,10,quote-exact,
2020-03-23,announced,day,national,restrictions,The Prime Minister announces the first national lockdown,Announced on the evening of 23 March; the measures became law three days later.,"PM announces the first lockdown in the UK, ordering people to “stay at home”",web,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf,,primary-retrieved,"The counterpart for five UCL rows, and the anchor of the lag analysis in both directions. UCL had already stopped face-to-face teaching ten days earlier and barred staff from campus the day after this."
2020-03-23,effective,day,ucl,restrictions,All staff must work from home; campus only for key workers,Campus access restricted to key workers and Dean-authorised national-interest research.,All staff must work from home wherever possible. This is to limit the spread of infection to you and to others.,newsletter,011_23_March__Issue_11_.html,11,quote-exact,"Published the same day as the national lockdown announcement, but the substance had been in force since 20 March. The national announcement came in the evening; issue 12 the next day is the response to it."
2020-03-23,effective,day,ucl,governance,Contractor staff get sick pay from the first day of absence,"Axis, Sodexo and Aramark staff brought into line with directly employed staff. Agreed with UNISON for July and brought forward.","staff employed by UCL’s suppliers Axis, Sodexo and Aramark will be able to access sick pay from the first day of an absence, in line with staff employed directly by the university",newsletter,010_20_March__Issue_10_.html,10,quote-exact,"Announced 20 March, effective 23 March. UCL contractors also honoured all contracted hours whether staff worked or not."
2020-03-23,effective,day,ucl,wellbeing,Day Nursery fees refunded and places held during closure,,"fees paid in advance for the period from 23 March 2020 will be refunded. Further fees will not be collected during this period, but all places will be held until the nursery is able to open again.",newsletter,020_3_April__Issue_20_.html,20,quote-exact,"Filed on 23 March, the date the refund period begins; announced in issue 20 of 3 April."
2020-03-23,published,day,ucl,research,UCL joins the national coronavirus genome sequencing consortium,Professor Judith Breuer of the UCL Pathogen Genomics Unit named among the scientists mapping the spread of the virus.,"Professor Judith Breuer, Director of UCL Pathogen Genomics Unit (UCL-PGU), has been announced as one of the leading UK scientists to be part of a major new genome sequencing consortium which will map the spread of coronavirus.",newsletter,011_23_March__Issue_11_.html,11,quote-exact,"The consortium is COG-UK, though the newsletter does not name it. Do not add the name to the ledger without a primary source."
2020-03-24,effective,day,ucl,restrictions,Staff must not attend campus unless authorised key workers,"UCL's direct response to the stay-at-home order announced the previous evening, with authorisation letters and ID required.","Following yesterday’s announcement by the UK Government requiring everyone to stay at home, you must not now physically come into work unless you are one of our authorised key workers and/or you are undertaking research in the immediate national interest.",newsletter,012_24_March__Issue_12_.html,12,quote-exact,One day after the national announcement of 23 March 2020. The clearest positive lag in the record and the counterpart to the negative lag of 13 March.
2020-03-24,effective,day,ucl,restrictions,The Student Centre closes and Bidborough House is restricted,"The last general-access buildings shut, four days after the main closure.",The Student Centre is now closed. Bidborough House also has very limited access and only for key workers and those undertaking research in the national interest.,newsletter,012_24_March__Issue_12_.html,12,quote-exact,On 23 March the Student Centre was still open for staff who could not work at home. The national order closed it.
2020-03-25,announced,day,ucl,research,REF 2021 data submission postponed by the funding bodies,,The funding bodies have agreed to postpone the Research Excellence Framework 2021 data submission until further notice.,newsletter,013_25_March__Issue_13_.html,13,quote-exact,A sector-level decision reported by UCL. The sector track should carry the funding bodies' own announcement once retrieved in stage 2; this row records UCL relaying it.
2020-03-26,effective,day,national,restrictions,The first lockdown measures come into force,Three days after the announcement.,Lockdown measures legally come into force,web,https://www.instituteforgovernment.org.uk/sites/default/files/timeline-lockdown-web.pdf,,primary-retrieved,The gap between announcement and legal force is why the ledger separates announced from effective dates.
2020-03-26,published,day,ucl,wellbeing,"Remote, Not Distant at UCL launched to support remote working","An HR website covering workspace setup, staying connected, managing teams remotely and mental health. It recurs in the newsletters for the next two years.","today colleagues in Human Resources have launched Remote, Not Distant at UCL , a new website to help you and those around you adapt to remote working",newsletter,014_26_March__Issue_14_.html,14,quote-exact,"The start date of a recurring thread, which the plan's inclusion test admits even though the later repetitions do not earn rows."
2020-03-26,effective,day,ucl,accommodation,Students in shared-bathroom halls moved to en-suite rooms on PHE advice,"So that a student who fell ill could self-isolate without exposing others. No extra fees, and UCL arranged the moves.","On the advice of Public Health England, we are relocating some students who are staying with us in UCL halls and are currently living in accommodation with shared bathrooms to halls with en-suite facilities.",newsletter,014_26_March__Issue_14_.html,14,quote-exact,"An infection-control measure inside UCL's own estate, distinct from the national restrictions, and among the earliest."
2020-03-27,announced,day,ucl,assessment,Students told alternative assessments will be confirmed by 6 April,With an assurance that no assessment would fall earlier than previously advertised.,We have told students that they will receive more information about their assessments by 6 April 2020.,newsletter,016_30_March__Issue_16_.html,16,quote-exact,"Filed on 27 March, the date students were contacted; reported in issue 16 of 30 March."
2020-03-27,published,day,ucl,governance,UCL Together launched to redeploy staff to teams needing support,"An HR initiative matching volunteers to teams under pressure, and to the NHS and emergency services outside UCL. Individual registration opened 30 March.","colleagues in Human Resources have developed UCL Together, a new initiative to connect teams in need of more support, with offers of help from other areas of the university",newsletter,015_27_March__Issue_15_.html,15,quote-exact,
2020-03-27,observed,day,ucl,civic,UCL laboratories donate nitrile gloves to UCLH,Collected at the North Lodge on Gower Street for delivery to the hospital.,"UCL staff working in our laboratories are donating supplies of nitrile gloves to UCLH, which is in urgent need of Personal Protective Equipment for NHS workers treating coronavirus patients.",newsletter,015_27_March__Issue_15_.html,15,quote-exact,
2020-03-30,announced,day,ucl,assessment,All 2020 graduation ceremonies cancelled,"June, July and September 2020 ceremonies, with an alternative celebration promised for the following year.","All graduation ceremonies this year have been cancelled. This covers ceremonies in June, July and September 2020.",newsletter,016_30_March__Issue_16_.html,16,quote-exact,
2020-03-30,published,day,ucl,civic,UCL-Ventura breathing aid approved for NHS use in ten days,Developed by UCL engineers with Mercedes Formula One and UCLH clinicians. One hundred devices sent to UCLH for trials.,UCL engineers have worked with Mercedes Formula One and clinicians at UCLH to produce a breathing aid that can help coronavirus patients stay out of intensive care. The device was developed and approved for use in the NHS in just ten days,newsletter,016_30_March__Issue_16_.html,16,quote-exact,The single most visible UCL civic contribution of the pandemic. Category civic so it can be filtered out of the lag analysis.
2020-04-01,published,day,ucl,civic,"Government orders up to 10,000 UCL-Ventura breathing aids","Two days after regulatory approval, with mass production targeted for the following week.","The Government has now ordered up to 10,000 of the devices, known as UCL-Ventura, which gained regulatory approval for use in the NHS in just ten days.",newsletter,018_1_April__Issue_18_.html,18,quote-exact,
2020-04-02,published,day,ucl,civic,Over 300 final-year medical students fast-tracked into the NHS,Part of the government's response; around 200 were already volunteering.,"More than 300 of UCL’s final year medical students are being fast-tracked through graduation this week, ready to be made frontline NHS doctors, as part of the Government’s response to the coronavirus outbreak.",newsletter,019_2_April__Issue_19_.html,19,quote-exact,
2020-04-02,announced,day,ucl,governance,Pay deductions for March strike action cancelled,Framed as recognition of the effort staff were making to move teaching and assessment online.,"We have agreed to cancel the payroll deductions for all strike action taken by staff in March, in recognition of the incredible contribution that our people are making in these very challenging circumstances.",newsletter,019_2_April__Issue_19_.html,19,quote-exact,"The UCU strike ran into March 2020 and was called off as the pandemic took hold, noted in issue 10."
2020-04-03,announced,day,ucl,restrictions,"Buildings to stay closed after Easter, with a review on 1 May",The first of many review dates that passed without reopening.,"In line with Government advice, UCL buildings will remain closed after the Easter break and you should continue to work remotely until further notice, unless you are one of our key workers. We will review this decision on 1 May",newsletter,020_3_April__Issue_20_.html,20,quote-exact,"Explicitly attributed to government advice, so usable for lag analysis."
2020-04-03,announced,day,ucl,research,"Final-year PGR writing-up extended and hardship fund raised to £3,000","With UCL lobbying UKRI, Wellcome and government through the Russell Group for sector-wide support.","We’ve agreed that the writing-up period for all PGR students in their final year will be extended, and we’ve also agreed to ensure that the hardship fund will support those students in need for the duration of the crisis, with an increase in the amount claimable to £3,000.",newsletter,020_3_April__Issue_20_.html,20,quote-exact,
2020-04-06,announced,day,ucl,governance,Disturbance allowance introduced for on-site key workers,"£350, £175 or £75 a month by days on site, extended to clinical staff seconded to the NHS, temporary staff and outsourced workers.",our onsite key workers will receive a disturbance allowance in addition to their usual pay,newsletter,021_6_April__Issue_21_.html,21,quote-exact,One of the few decisions in the record that treats the people who could not work from home as a distinct group.
2020-04-07,announced,day,ucl,accommodation,Term 4 accommodation fees waived as well as Term 3,,"We will not be charging accommodation fees for students for this Term 4 period who will no longer be staying with us, as we have done for the Term 3 period.",newsletter,022_7_April__Issue_22_.html,22,quote-exact,
2020-04-07,announced,day,ucl,assessment,UCL adopts a no-detriment principle for summer assessments,"Exceptional amendments to Academic Regulations, guaranteeing classifications at least in line with work to date.","We have written to all students to let them know that UCL has adopted a “no detriment” principle, which recognises students’ academic performance so far and ensures that academic outcomes won’t be negatively impacted by the alternative assessments due to take place this summer.",newsletter,022_7_April__Issue_22_.html,22,quote-exact,
2020-04-07,published,day,ucl,civic,UCL-Ventura designs released worldwide free of charge,Published so manufacturers anywhere could produce the device.,All the details required to make the UCL-Ventura device have now been made available online and at no cost so it can be produced by manufacturers around the world.,newsletter,022_7_April__Issue_22_.html,22,quote-exact,By the following day 233 download requests had come from 25 countries.
2020-04-08,announced,day,ucl,governance,Annual leave carry-over raised from five days to seven,"A one-off change for the year, with no limit for key workers who had worked throughout.","UCL has increased the number of days of annual leave that can be carried forward from this leave period to the next, from five to seven.",newsletter,023_8_April__Issue_23_.html,23,quote-exact,
2020-04-08,published,day,ucl,governance,Cyber-attacks on universities reported up 37% since the outbreak,UCL identified its high-profile pandemic work as raising its own exposure.,"there has been a significant increase in cyber-attacks on universities, with some reports showing an increase of 37% above previous levels",newsletter,023_8_April__Issue_23_.html,23,quote-exact,"UCL is relaying an external claim without attributing it. Do not repeat the 37% figure as established. Checked twice and still unattributable: the newsletter names no source, and the archive's inventory of every link in that issue shows the only security link goes to UCL's own Stay Secure pages. There is no trail to follow, which is itself the finding. This is the one claim of the three stage 1 flagged that could not be verified."
2020-04-15,effective,day,ucl,restrictions,Travel restrictions extended to 1 August after FCO advice,Following the FCO advising against all but essential international travel indefinitely. UCL stopped accepting expense claims for travel booked from that day.,"In light of this advice, UCL is extending its travel restrictions as of today. Staff and students should not travel internationally on UCL business until 1 August 2020 .",newsletter,024_15_April__Issue_24_.html,24,quote-exact,"A direct extension of the 11 March restriction, whose original horizon of 1 May had become untenable. Names the FCO advice as the cause."
2020-04-16,announced,day,ucl,teaching,Copyright restrictions relaxed so teaching material could be digitised,,"Some copyright restrictions have been temporarily relaxed to allow more educational material to be digitised and made available online, to support taught courses during the pandemic.",newsletter,025_16_April__Issue_25_.html,25,quote-exact,"A sector-level change UCL is relaying, not a UCL decision. The publishers' and Jisc side belongs on the sector track if it is retrieved in stage 2."
2020-04-17,published,day,ucl,assessment,"Assessment programme confirmed: 3,333 assessments across 2,367 modules adjusted","Equating to 130,000 individual student assessments, 31% of the total. Of 2,000 invigilated exams, 1,061 became coursework, 667 became 24-hour timed exams, 237 were excluded and 40 deferred.","In total, 3,333 assessments across 2,367 modules have been adjusted, equating to 130,000 individual student assessments – or 31% of the total.",newsletter,026_17_April__Issue_26_.html,26,quote-exact,The clearest quantification in the whole record of what moving a university online actually cost in work.
2020-04-17,published,day,ucl,governance,"Gold, Silver and Bronze crisis structure endorsed by UCL Council","Led by the Provost and covering business continuity, education, research and external engagement.","A new Gold / Silver / Bronze structure, led directly by me and endorsed by UCL Council, our governing body, has been in place for several weeks and is functioning well.",newsletter,026_17_April__Issue_26_.html,26,quote-exact,"The emergency-services command model, adopted by a university. Supersedes the mitigation-group structure of 18 March."
2020-04-20,published,day,ucl,research,Coronavirus: The Whole Story podcast launched,"A weekly podcast presented by Vivienne Parry, running through the pandemic and referenced in newsletters for the next two years.",Coronavirus: The Whole Story is UCL’s new weekly podcast that explores the pandemic from the perspective of researchers across UCL.,newsletter,027_20_April__Issue_27_.html,27,quote-exact,"First appearance of a recurring thread, so it earns a row; the later weekly mentions do not."
2020-04-20,announced,day,ucl,research,Grand Challenges initiative on recovery from Covid-19 opened,"Expressions of interest to 4 May 2020, aimed at researchers unable to continue their usual work.",UCL Grand Challenges invites you to engage with our new initiative to address the urgent issues posed by the coronavirus outbreak.,newsletter,027_20_April__Issue_27_.html,27,quote-exact,
2020-04-20,announced,day,ucl,research,PhD students given automatic writing-up extensions and stipend underwriting,"Financial Assistance Fund raised to £3,000, a new Emergency Assistance Grant of up to £500, and final-year funded students underwritten at the minimum UKRI rate for up to three months.",We are also providing all PhD students with an automatic writing-up (CRS) extension to cover the closure period.,newsletter,027_20_April__Issue_27_.html,27,quote-exact,"UCL acting ahead of the funders while lobbying them, which the Provost states explicitly: this is not a problem UCL can solve on its own."
2020-04-21,announced,day,ucl,teaching,Learning Opportunities Fund reopened for students affected by strike action,Grants of up to £500 for students whose learning was disrupted by the industrial action of 24 February to 20 March 2020.,The Learning Opportunities Fund has reopened for applications from students whose learning was affected by the strike action that took place between 24 February and 20 March 2020.,newsletter,028_21_April__Issue_28_.html,28,quote-exact,A pre-pandemic disruption being settled during the pandemic. The strike ended four days before the national lockdown.
2020-04-23,announced,day,ucl,research,Biosafety guidance approved for work with coronavirus samples,Covering research using samples from confirmed or suspected patients and work with the virus directly.,"The UCL Genetic Modification & Biosafety Committee has approved new guidance for those planning to work with samples from confirmed or suspected coronavirus patients, or those planning to work with the virus directly.",newsletter,030_23_April__Issue_30_.html,30,quote-exact,
2020-04-23,published,day,ucl,governance,UCL Together has supplied 497 days of redeployed support in four weeks,,"To date, we have provided 497 days of additional support to teams across the university by matching volunteers to those departments who have requested help.",newsletter,030_23_April__Issue_30_.html,30,quote-exact,"A measured outcome for the scheme launched on 27 March, which is rare in the record; most initiatives are announced and never quantified."
2020-04-24,announced,day,ucl,governance,Recruitment freeze and capital spending paused as income falls,"With drastic cuts to non-pay expenditure to build cash reserves, and additional borrowing drawn down.","We have, of course, taken immediate action to cut costs: introducing a recruitment freeze (so we prioritise those who are already part of our community); pausing or cancelling significant elements of capital expenditure",newsletter,031_24_April__Issue_31_.html,31,quote-exact,"The pivot from crisis response to financial survival, one month into lockdown."
2020-04-24,announced,day,ucl,governance,Single-year budgeting adopted with the contribution model set aside,"Normal processes suspended through Term 1, pending clarity on tuition fee income.","We will do single-year budgeting, in which we set temporarily aside our usual processes through Term 1.",newsletter,031_24_April__Issue_31_.html,31,quote-exact,
2020-04-24,announced,day,ucl,governance,UCL declines an across-the-board pay freeze adopted by other universities,,You may be aware that other universities have announced an across-the-board pay freeze. This is something that we are not yet considering and we will exhaust all other options before we do so.,newsletter,031_24_April__Issue_31_.html,31,quote-exact,"A rare explicit contrast with sector practice, and one the sector track should be able to test once the comparator institutions are identified in stage 2."
2020-04-27,published,day,ucl,wellbeing,Looking out for our students phone campaign launched,"Staff volunteers calling students to check how they were coping, committing at least one day a week to the end of May.","Colleagues from across UCL have launched ‘Looking out for our students’, a new phone call campaign to keep in touch with our students and help them feel cared for during the coronavirus outbreak.",newsletter,032_27_April__Issue_32_.html,32,quote-exact,
2020-04-28,announced,day,ucl,restrictions,"Building closures to be reviewed on 8 May, with 15 May the earliest reopening",Explicitly contingent on whether the national lockdown was extended again.,"We will review our building closures and remote working policy again on Friday 8 May, and the earliest date that we could start reopening our buildings would be Friday 15 May.",newsletter,033_28_April__Issue_33_.html,33,quote-exact,"The second review date to pass without reopening, after 1 May. Campus did not reopen to most staff in 2020 at all."
2020-04-30,announced,day,ucl,research,"Furloughed staff barred from any work, including writing up UCL results",,It is important to note that any staff on furlough cannot undertake any work for UCL. This means that activities such as writing up results obtained at UCL and analysing UCL data are not allowed.,newsletter,035_30_April__Issue_35_.html,35,quote-exact,"A condition of the national scheme with a sharp effect on research careers, and the clearest instance in the record of national policy constraining UCL rather than merely prompting it."
